;Ly ;w0;h0;w1;h1;s;q
Sistebreen;3400;700;250;1250;500;0.073529412;0.161764706
unnamed1;1570;300;280;600;800;0.331210191;0.191082803
Ullfjellet;6200;770;360;2000;1050;0.111290323;0.198387097
veteranfjella;1800;250;370;570;870;0.277777778;0.177777778
Fitzbillybreen;5900;770;410;1700;1130;0.122033898;0.157627119
Trinity Hallbreen;9700;1260;480;2980;1150;0.069072165;0.177319588
unnamed2;3260;650;610;1400;1130;0.159509202;0.23006135
Parisbreen;8700;1410;630;2400;1250;0.071264368;0.113793103
Kortbreen;3600;1040;690;2500;1050;0.1;0.405555556
Edinburghbreen;6520;1000;820;930;1300;0.073619632;-0.010736196
Gallerbreen;4230;1370;900;2570;1150;0.059101655;0.283687943
Manebreen;3380;1740;950;2470;1150;0.059171598;0.215976331
Banebotnen;2230;1500;1050;1960;1200;0.067264574;0.206278027
Planetbreen;5360;1000;1100;1220;1390;0.054104478;0.041044776
Vegskaret;2730;470;580;2190;920;0.124542125;0.63003663
Gallerbreen;3470;270;680;2250;1200;0.149855908;0.570605187
Glasgowbreen;3110;1100;770;1920;920;0.048231511;0.263665595
Kingsbreen;2610;1070;920;1300;1120;0.076628352;0.088122605
MacLaurinryggen;1670;2000;1050;2390;1350;0.179640719;0.233532934
